DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-03-07	30578418	Giri A	2018-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30578418	Trans-ethnic association study of blood pressure determinants in over 750,000 individuals.	Pulse pressure	365,998 European ancestry individuals, 63,490 African ancestry individuals, 22,802 Hispanic individuals, 4,792 Asian ancestry individuals, 2,695 Native American ancestry individuals	299,024 European ancestry individuals, 17,277 individuals	2p16.1	2	55875609	EFEMP1	EFEMP1			ENSG00000115380			rs11899888-G	rs11899888	0	11899888	intron_variant	0	0.8602	1E-12	12.0		0.2701	[0.2-0.34] mmHg increase	Affymetrix [NR] (imputed)	N	pulse pressure measurement	http://www.ebi.ac.uk/efo/EFO_0005763	GCST007269	Genome-wide genotyping array
2019-10-16	31562340	Akiyama M	2019-09-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31562340	Characterizing rare and low-frequency height-associated variants in the Japanese population.	Height	159,095 Japanese ancestry individuals	32,692 Japanese ancestry individuals	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-?	rs3791679	0	3791679	intron_variant	0	NR	4E-82	81.39794000867204		0.06307448	[0.057-0.07] unit decrease	Illumina [27896057] (imputed)	N	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008839	Genome-wide genotyping array
2020-05-28	32231278	Hysi PG	2020-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/32231278	Meta-analysis of 542,934 subjects of European ancestry identifies new genes and mechanisms predisposing to refractive error and myopia.	Refractive error	542,934 European ancestry individuals	NA	2p16.1	2	55868231	ASB3, CHAC2, ERLEC1, GPR75, PSME4, ACYP2, SPTBN1, EML6, CCDC88A, CCDC104, SMEK2, PNPT1, EFEMP1	EFEMP1			ENSG00000115380			rs9309272-?	rs9309272	0	9309272	intron_variant	0	NR	3E-34	33.52287874528034				Affymetrix, Illumina [NR] (imputed)	N	Abnormality of refraction	http://purl.obolibrary.org/obo/HP_0000539	GCST010002	Genome-wide genotyping array
2020-08-03	32352494	Han X	2020-04-30	JAMA Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/32352494	Association of Myopia and Intraocular Pressure With Retinal Detachment in European Descent Participants of the UK Biobank Cohort: A Mendelian Randomization Study.	Spherical equivalent	95,827 European ancestry individuals	NA	2p16.1	2	55907964	NR	EFEMP1			ENSG00000115380			rs78857879-G	rs78857879	0	78857879	intron_variant	0	NR	2E-15	14.698970004336019		0.15	[0.11-0.19] unit increase	NR [NR]	N	refractive error	http://purl.obolibrary.org/obo/MONDO_0004892	GCST010378	Genome-wide genotyping array
2020-06-25	32358547	Persyn E	2020-05-01	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32358547	Genome-wide association study of MRI markers of cerebral small vessel disease in 42,310 participants.	White matter hyperintensities	39,011 European ancestry individuals, 2,099 African ancestry individuals, 795 Hispanic individuals, 3,299 Asian ancestry individuals	NA	2p16.1	2	55900956	EFEMP1	EFEMP1			ENSG00000115380			rs7596872-A	rs7596872	0	7596872	intron_variant	0	NR	2E-20	19.69897000433602		9.126	[NR] Zscore increase	Affymetrix [9700000] (imputed)	N	white matter hyperintensity measurement	http://www.ebi.ac.uk/efo/EFO_0005665	GCST010101	Genome-wide genotyping array
2019-03-27	30804560	Shrine N	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804560	New genetic signals for lung function highlight pathways and chronic obstructive pulmonary disease associations across multiple ancestries.	Lung function (FVC)	321,047 European ancestry individuals	79,005 European ancestry individuals	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7714	7E-35	34.15490195998574		0.0344	[0.029-0.04] unit increase	Affymetrix [19819130] (imputed)	N	vital capacity	http://www.ebi.ac.uk/efo/EFO_0004312	GCST007429	Genome-wide genotyping array
2020-07-09	32184442	Olafsdottir T	2020-03-17	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/32184442	Genome-wide association identifies seven loci for pelvic organ prolapse in Iceland and the UK Biobank.	Pelvic organ prolapse	15,010 European ancestry cases, 340,734 European ancestry controls	NA	2p16.1	2	55884174	EFEMP1	EFEMP1			ENSG00000115380			rs3791675-C	rs3791675	0	3791675	intron_variant	0	0.7893	3E-11	10.522878745280337		1.1111112	NR	Affymetrix, Illumina [37144863] (imputed)	N	pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	GCST010174	Genome-wide genotyping array, Genome-wide sequencing
2019-03-27	30804560	Shrine N	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804560	New genetic signals for lung function highlight pathways and chronic obstructive pulmonary disease associations across multiple ancestries.	FEV1	321,047 European ancestry individuals	79,005 European ancestry individuals	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7714	3E-13	12.522878745280337		0.0203	[0.015-0.026] unit increase	Affymetrix [19819130] (imputed)	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST007432	Genome-wide genotyping array
2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Waist circumference adjusted for body mass index	457,690 European ancestry individuals	NA	2p16.1	2	55889288	NR	EFEMP1			ENSG00000115380			rs114866397-?	rs114866397	0	114866397	intron_variant	0	NR	6E-14	13.221848749616356				Affymetrix [~ 8270000] (imputed)	N	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	GCST009867	Genome-wide genotyping array
2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Waist circumference adjusted for body mass index	457,690 European ancestry individuals	NA	2p16.1	2	55868231	NR	EFEMP1			ENSG00000115380			rs9309272-?	rs9309272	0	9309272	intron_variant	0	NR	7E-33	32.15490195998574				Affymetrix [~ 8270000] (imputed)	N	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	GCST009867	Genome-wide genotyping array
